Symbol,Name
TYT.L,Toyota Motor Corporation
ULVR.L,Unilever PLC
BP-A.L,BP p.l.c.
BP-B.L,BP p.l.c.
RDSA.L,Royal Dutch Shell plc
AZN.L,AstraZeneca PLC
RDSB.L,Royal Dutch Shell plc
BHP.L,BHP Group
HSBA.L,HSBC Holdings plc
GSK.L,GlaxoSmithKline plc
DGE.L,Diageo plc
RIO.L,Rio Tinto plc
BATS.L,British American Tobacco p.l.c.
BP.L,BP p.l.c.
RB.L,Reckitt Benckiser Group plc
BNC.L,"Banco Santander, S.A."
REL.L,RELX PLC
MEL.L,Mitsubishi Electric Corporation
VOD.L,Vodafone Group Plc
AAL.L,Anglo American plc
PRU.L,Prudential plc
GLEN.L,Glencore Plc
NG.L,National Grid plc
LSE.L,London Stock Exchange Group plc
LLOY.L,Lloyds Banking Group plc
CPG.L,Compass Group PLC
BARC.L,Barclays PLC
EXPN.L,Experian plc
CRH.L,CRH plc
TSCO.L,Tesco PLC
FLTR.L,Flutter Entertainment plc
NWG.L,NatWest Group plc
FERG.L,Ferguson plc
ABF.L,Associated British Foods plc
OCDO.L,Ocado Group plc
BA.L,BAE Systems plc
SMT.L,Scottish Mortgage Investment Trust plc
STAN.L,Standard Chartered PLC
LGEN.L,Legal & General Group Plc
AHT.L,Ashtead Group plc
SSE.L,SSE plc
WPM.L,Wheaton Precious Metals Corp.
SN.L,Smith & Nephew plc
IMB.L,Imperial Brands PLC
AV.L,Aviva plc
ANTO.L,Antofagasta plc
BT-A.L,BT Group plc
CCL.L,Carnival plc
JET.L,Just Eat Takeaway.com N.V.
SGRO.L,SEGRO Plc
GBPUSD=X,GBP/USD
GBPEUR=X,GBP/EUR
EURUSD=X,EUR/USD
GBPJPY=X,GBP/JPY
JPY=X,USD/JPY
GBP=X,USD/GBP
GBPAUD=X,GBP/AUD
GBPBRL=X,GBP/BRL
GBPCAD=X,GBP/CAD
GBPCHF=X,GBP/CHF
GBPCNY=X,GBP/CNY
GBPINR=X,GBP/INR
GBPNOK=X,GBP/NOK
GBPQAR=X,GBP/QAR
GBPZAR=X,GBP/ZAR
EURCHF=X,EUR/CHF
EURCAD=X,EUR/CAD
EURJPY=X,EUR/JPY
EURSEK=X,EUR/SEK
EURHUF=X,EUR/HUF
CAD=X,USD/CAD
USDHKD=X,USD/HKD
USDSGD=X,USD/SGD
INR=X,USD/INR
USDMXN=X,USD/MXN
EURJPY=X,EUR/JPY
CNY=X,USD/CNY
CHF=X,USD/CHF
